"order_penalty","run","profit"
"140","4","362657"
"140","5","408749"
"140","6","342120"
"140","7","358866"
"140","8","372912"
"140","9","379380"
"140","10","449784"
"140","11","464271"
"140","12","448988"
"140","13","284967"
"140","14","345411"
"140","15","310969"
"140","16","423657"
"140","17","492140"
"140","18","381447"
"140","19","267128"
"140","20","487545"
"140","21","410288"
"140","22","369678"
"140","23","448418"
"140","24","381324"
"140","25","371702"
"140","26","296163"
"140","27","477407"
"140","28","344657"
"140","29","402969"
"150","0","424734"
"150","1","413584"
"150","2","468798"
"150","3","436525"
"150","4","302121"
"150","5","403956"
"150","6","428733"
"150","7","493552"
"150","8","439854"
"150","9","321736"
"150","10","426563"
"150","11","348821"
"150","12","377672"
"150","13","315954"
"150","14","426568"
"150","15","316892"
"150","16","345070"
"150","17","434393"
"150","18","362746"
"150","19","309730"
"150","20","379850"
"150","21","373912"
"150","22","427878"
"150","23","296731"
"150","24","343257"
"150","25","393381"
"150","26","463182"
"150","27","313955"
"150","28","454986"
"150","29","367181"
"160","0","540942"
"160","1","428196"
"160","2","369471"
"160","3","372568"
"160","4","367381"
"160","5","378951"
"160","6","442539"
"160","7","341035"
"160","8","292650"
"160","9","429317"
"160","10","429389"
"160","11","381169"
"160","12","455532"
"160","13","348297"
"160","14","398779"
"160","15","417922"
"160","16","347088"
"160","17","350606"
"160","18","384123"
"160","19","340154"
"160","20","347610"
"160","21","493029"
"160","22","390986"
"160","23","418258"
"160","24","417901"
"160","25","357189"
"160","26","445464"
"160","27","289455"
"160","28","440419"
"160","29","390247"
"170","0","392904"
"170","1","273601"
"170","2","499693"
"170","3","422918"
"170","4","407506"
"170","5","354508"
"170","6","321140"
"170","7","328662"
"170","8","413098"
"170","9","461494"
"170","10","344042"
"170","11","381892"
"170","12","464691"
"170","13","265635"
"170","14","515945"
"170","15","502754"
"170","16","389842"
"170","17","516885"
"170","18","427235"
"170","19","485009"
"170","20","287985"
"170","21","410677"
"170","22","457891"
"170","23","471308"
"170","24","439685"
"170","25","351326"
"170","26","451648"
"170","27","393890"
"170","28","414989"
"170","29","438060"
"180","0","499941"
"180","1","439365"
"180","2","414140"
"180","3","511333"
"180","4","358776"
"180","5","373923"
"180","6","450930"
"180","7","319994"
"180","8","173624"
"180","9","341089"
"180","10","301245"
"180","11","363302"
"180","12","472697"
"180","13","428189"
"180","14","456690"
"180","15","474982"
"180","16","357272"
"180","17","446313"
"180","18","285791"
"180","19","347085"
"180","20","418137"
"180","21","397682"
"180","22","406793"
"180","23","383502"
"180","24","396131"
"180","25","323992"
"180","26","427843"
"180","27","441574"
"180","28","366791"
"180","29","194332"
"190","0","374468"
"190","1","339857"
"190","2","409345"
"190","3","425723"
"190","4","480570"
"190","5","491647"
"190","6","472659"
"190","7","461604"
"190","8","513993"
"190","9","390067"
"190","10","482778"
"190","11","341820"
"190","12","454505"
"190","13","423432"
"190","14","407411"
"190","15","434866"
"190","16","466617"
"190","17","467514"
"190","18","360087"
"190","19","359419"
"190","20","463165"
"190","21","419175"
"190","22","505695"
"190","23","348803"
"190","24","265949"
"190","25","472313"
"190","26","452180"
"190","27","348460"
"190","28","371183"
"190","29","300521"
"200","0","321871"
"200","1","424672"
"200","2","325133"
"200","3","422432"
"200","4","469633"
"200","5","548711"
"200","6","338873"
"200","7","438765"
"200","8","345971"
"200","9","378357"
"200","10","516760"
"200","11","470125"
"200","12","263011"
"200","13","414353"
"200","14","458673"
"200","15","438118"
"200","16","473162"
"200","17","489542"
"200","18","363519"
"200","19","335565"
"200","20","418938"
"200","21","339444"
"200","22","406337"
"200","23","419390"
"200","24","379186"
"200","25","444714"
"200","26","469676"
"200","27","515675"
"200","28","431792"
"200","29","341665"
"210","0","284047"
"210","1","371311"
"210","2","416099"
"210","3","525754"
"210","4","415234"
"210","5","330060"
"210","6","477496"
"210","7","478803"
"210","8","401622"
"210","9","308408"
"210","10","411654"
"210","11","330348"
"210","12","423871"
"210","13","351409"
"210","14","366248"
"210","15","231321"
"210","16","346138"
"210","17","370859"
"210","18","370572"
"210","19","237612"
"210","20","429950"
"210","21","316004"
"210","22","390746"
"210","23","485956"
"210","24","358303"
"210","25","407766"
"210","26","414477"
"210","27","515177"
"210","28","401390"
"210","29","478021"
"220","0","366518"
"220","1","444821"
"220","2","431172"
"220","3","448657"
"220","4","399576"
"220","5","537455"
"220","6","334380"
"220","7","520255"
"220","8","502827"
"220","9","362098"
"220","10","277186"
"220","11","449023"
"220","12","374031"
"220","13","476764"
"220","14","425460"
"220","15","372426"
"220","16","298563"
"220","17","593821"
"220","18","387539"
"220","19","369493"
"220","20","375652"
"220","21","502153"
"220","22","435789"
"220","23","345707"
"220","24","269662"
"220","25","508686"
"220","26","395330"
"220","27","336655"
"220","28","254588"
"220","29","218486"
"230","0","469673"
"230","1","376181"
"230","2","490873"
"230","3","413249"
"230","4","403529"
"230","5","380027"
"230","6","381769"
"230","7","381057"
"230","8","407551"
"230","9","312517"
"230","10","375905"
"230","11","344513"
"230","12","588117"
"230","13","337288"
"230","14","360238"
"230","15","224468"
"230","16","466490"
"230","17","507541"
"230","18","332698"
"230","19","411212"
"230","20","338969"
"230","21","408970"
"230","22","377996"
"230","23","357068"
"230","24","401462"
"230","25","408285"
"230","26","273496"
"230","27","568147"
"230","28","231688"
"230","29","577073"
"240","0","299275"
"240","1","435084"
"240","2","239460"
"240","3","396400"
"240","4","383825"
"240","5","336787"
"240","6","379788"
"240","7","436138"
"240","8","447285"
"240","9","320964"
"240","10","436146"
"240","11","299730"
"240","12","453307"
"240","13","460817"
"240","14","580155"
"240","15","566159"
"240","16","447711"
"240","17","427051"
"240","18","466248"
"240","19","440954"
"240","20","427556"
"240","21","379255"
"240","22","473725"
"240","23","414203"
"240","24","390026"
"240","25","451200"
"240","26","396409"
"240","27","280206"
"240","28","437677"
"240","29","384937"
"250","0","426869"
"250","1","469413"
"250","2","410357"
"250","3","393084"
"250","4","369239"
"250","5","438672"
"250","6","454535"
"250","7","336283"
"250","8","316673"
"250","9","424323"
"250","10","393314"
"250","11","355932"
"250","12","365064"
"250","13","397133"
"250","14","304026"
"250","15","418555"
"250","16","322043"
"250","17","303444"
"250","18","495139"
"250","19","289162"
"250","20","289823"
"250","21","495925"
"250","22","294509"
"250","23","426069"
"250","24","456822"
"250","25","561838"
"250","26","392073"
"250","27","407045"
"250","28","450374"
"250","29","460669"
