"customers","run","profit"
"42","24","4929301"
"42","25","5308705"
"42","26","4730857"
"42","27","4562333"
"42","28","5371972"
"42","29","5061972"
"46","0","5079771"
"46","1","5877232"
"46","2","6039075"
"46","3","5237439"
"46","4","5826038"
"46","5","5396196"
"46","6","5805122"
"46","7","5035330"
"46","8","5359066"
"46","9","5593665"
"46","10","5436930"
"46","11","5505647"
"46","12","5655521"
"46","13","6165325"
"46","14","6061218"
"46","15","5779626"
"46","16","5583827"
"46","17","6231679"
"46","18","5543950"
"46","19","4860579"
"46","20","5431634"
"46","21","6070714"
"46","22","6395455"
"46","23","5842901"
"46","24","5043366"
"46","25","5275076"
"46","26","6277744"
"46","27","5319775"
"46","28","5156593"
"46","29","5070819"
"50","0","5817571"
"50","1","5157520"
"50","2","4672390"
"50","3","6268706"
"50","4","5855633"
"50","5","5960988"
"50","6","5595671"
"50","7","5887237"
"50","8","5913577"
"50","9","5562868"
"50","10","5338451"
"50","11","5908566"
"50","12","5078562"
"50","13","5411381"
"50","14","6022866"
"50","15","6434157"
"50","16","5081054"
"50","17","5974931"
"50","18","6081932"
"50","19","5514754"
"50","20","5513082"
"50","21","5205235"
"50","22","5743790"
"50","23","6187647"
"50","24","6781049"
"50","25","5539833"
"50","26","5927873"
"50","27","5110520"
"50","28","5794914"
"50","29","5458766"
"54","0","6000547"
"54","1","6728072"
"54","2","5470486"
"54","3","5425670"
"54","4","5930943"
"54","5","6834719"
"54","6","6663778"
"54","7","6312268"
"54","8","6070029"
"54","9","5758709"
"54","10","5521794"
"54","11","6338029"
"54","12","6383999"
"54","13","6782027"
"54","14","6177868"
"54","15","6485553"
"54","16","5718438"
"54","17","5586457"
"54","18","5911704"
"54","19","6325479"
"54","20","5877567"
"54","21","5491615"
"54","22","5973731"
"54","23","6487588"
"54","24","6294288"
"54","25","6209738"
"54","26","6384993"
"54","27","5946737"
"54","28","5990993"
"54","29","5692964"
"58","0","6401032"
"58","1","6316316"
"58","2","6430125"
"58","3","6677777"
"58","4","5885190"
"58","5","6087322"
"58","6","5913340"
"58","7","6519028"
"58","8","6447043"
"58","9","6629980"
"58","10","6142715"
"58","11","5790774"
"58","12","6383176"
"58","13","6401457"
"58","14","6202541"
"58","15","5835185"
"58","16","6257695"
"58","17","6442276"
"58","18","6334673"
"58","19","7013482"
"58","20","5995252"
"58","21","6614714"
"58","22","6194292"
"58","23","7365882"
"58","24","6344997"
"58","25","6558382"
"58","26","5075456"
"58","27","5527427"
"58","28","6322367"
"58","29","5926278"
"62","0","6768488"
"62","1","6325794"
"62","2","6289813"
"62","3","5085006"
"62","4","6418965"
"62","5","6343695"
"62","6","5917958"
"62","7","6610051"
"62","8","6555832"
"62","9","6235130"
"62","10","6138884"
"62","11","6406256"
"62","12","6024995"
"62","13","6184930"
"62","14","6453997"
"62","15","6222828"
"62","16","6234115"
"62","17","6667924"
"62","18","6283606"
"62","19","6749677"
"62","20","6172173"
"62","21","6858507"
"62","22","6305846"
"62","23","6402082"
"62","24","6352136"
"62","25","6727536"
"62","26","6240460"
"62","27","6673897"
"62","28","6257641"
"62","29","7831538"
"66","0","6327047"
"66","1","6684481"
"66","2","6944256"
"66","3","6620020"
"66","4","6311102"
"66","5","7042903"
"66","6","7225326"
"66","7","6952824"
"66","8","5539058"
"66","9","6226543"
"66","10","7315431"
"66","11","6745219"
"66","12","7217548"
"66","13","7077982"
"66","14","5643925"
"66","15","7142996"
"66","16","7481991"
"66","17","7451004"
"66","18","7240326"
"66","19","6466219"
"66","20","6184799"
"66","21","6380622"
"66","22","6268459"
"66","23","6166189"
"66","24","6717607"
"66","25","6439224"
"66","26","6247056"
"66","27","6372799"
"66","28","6499649"
"66","29","6554062"
"70","0","6987779"
"70","1","7143651"
"70","2","6107733"
"70","3","6009248"
"70","4","6881815"
"70","5","6184501"
"70","6","6871938"
"70","7","7863561"
"70","8","7891447"
"70","9","7000511"
"70","10","7999206"
"70","11","6276708"
"70","12","6206645"
"70","13","6935161"
"70","14","6513318"
"70","15","6852418"
"70","16","6697910"
"70","17","6187807"
"70","18","6840520"
"70","19","7423672"
"70","20","6755809"
"70","21","6468038"
"70","22","6265534"
"70","23","6860178"
"70","24","7349767"
"70","25","6555391"
"70","26","7301760"
"70","27","6500304"
"70","28","7436767"
"70","29","6920872"
"74","0","6399319"
"74","1","6894852"
"74","2","7353663"
"74","3","6494862"
"74","4","7318669"
"74","5","5646789"
"74","6","6933817"
"74","7","7053248"
"74","8","7450972"
"74","9","7783844"
"74","10","6574799"
"74","11","7429283"
"74","12","6653571"
"74","13","6935736"
"74","14","7662468"
"74","15","7667811"
"74","16","6874324"
"74","17","7854246"
"74","18","6242922"
"74","19","7277955"
"74","20","6870350"
"74","21","7171968"
"74","22","7172424"
"74","23","7068168"
"74","24","6528083"
"74","25","7289812"
"74","26","6962515"
"74","27","7327675"
"74","28","6044155"
"74","29","6151639"
"78","0","7247811"
"78","1","7048843"
"78","2","7193168"
"78","3","7598277"
"78","4","6750752"
"78","5","7230523"
"78","6","6607058"
"78","7","7284469"
"78","8","8065238"
"78","9","6934984"
"78","10","7331144"
"78","11","6942404"
"78","12","6219058"
"78","13","7666821"
"78","14","6331627"
"78","15","7048063"
"78","16","7034988"
"78","17","7059876"
