"customers","run","profit"
"38","12","4725582"
"38","13","5754049"
"38","14","5085364"
"38","15","4693200"
"38","16","5450843"
"38","17","4707522"
"38","18","5103561"
"38","19","5165883"
"38","20","4488897"
"38","21","4904492"
"38","22","4755237"
"38","23","4698371"
"38","24","4905242"
"38","25","5017007"
"38","26","4667341"
"38","27","4760500"
"38","28","5144714"
"38","29","4749630"
"42","0","4375924"
"42","1","5383155"
"42","2","5596450"
"42","3","4910251"
"42","4","5450405"
"42","5","5547205"
"42","6","5006967"
"42","7","5838627"
"42","8","5381456"
"42","9","5438261"
"42","10","5365638"
"42","11","4629816"
"42","12","5412969"
"42","13","5763143"
"42","14","5863257"
"42","15","5413356"
"42","16","5344640"
"42","17","5367930"
"42","18","5219724"
"42","19","5547464"
"42","20","5209929"
"42","21","5351320"
"42","22","5650331"
"42","23","5263525"
"42","24","5020807"
"42","25","5701012"
"42","26","5690259"
"42","27","4968125"
"42","28","5579351"
"42","29","5207272"
"46","0","5321271"
"46","1","4928364"
"46","2","4955157"
"46","3","5638155"
"46","4","5324032"
"46","5","5579897"
"46","6","5055428"
"46","7","5261654"
"46","8","5616460"
"46","9","6087708"
"46","10","5990889"
"46","11","5430387"
"46","12","5617906"
"46","13","5858236"
"46","14","4789343"
"46","15","5928144"
"46","16","5637772"
"46","17","5692840"
"46","18","5408303"
"46","19","5984703"
"46","20","5675721"
"46","21","5455398"
"46","22","6546259"
"46","23","5743630"
"46","24","5498015"
"46","25","5584177"
"46","26","5996182"
"46","27","5393262"
"46","28","4801411"
"46","29","6233381"
"50","0","6937187"
"50","1","5695852"
"50","2","5342763"
"50","3","6331230"
"50","4","5258524"
"50","5","6214326"
"50","6","5082988"
"50","7","5675899"
"50","8","6415190"
"50","9","5622509"
"50","10","5934975"
"50","11","5737199"
"50","12","6226280"
"50","13","5607648"
"50","14","5749211"
"50","15","6791263"
"50","16","5481300"
"50","17","5712242"
"50","18","5410082"
"50","19","5323163"
"50","20","5854359"
"50","21","5856520"
"50","22","6058705"
"50","23","5432186"
"50","24","5821219"
"50","25","6051330"
"50","26","5781967"
"50","27","6036909"
"50","28","6619276"
"50","29","6030420"
"54","0","5973231"
"54","1","6356503"
"54","2","5576618"
"54","3","6918433"
"54","4","5892129"
"54","5","6141454"
"54","6","5555329"
"54","7","6544253"
"54","8","6257858"
"54","9","5980602"
"54","10","6128478"
"54","11","5777861"
"54","12","6921746"
"54","13","5321285"
"54","14","5993545"
"54","15","6257762"
